StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2.1_Id,Q2.1_Name,Q2.1_Size,Q2.1_Type,Q3.1,Q5.7,Q5.13,Q5.14,Q5.15,Q5.16,Q5.17,Q5.18,Q5.19,Q5.20,Q5.21,Q6.7,Q6.13,Q6.14,Q6.15,Q6.16,Q6.17,Q6.18,Q6.19,Q6.20,Q6.21,Q7.7,Q7.13,Q7.14,Q7.15,Q7.16,Q7.17,Q7.18,Q7.19,Q7.20,Q7.21,Q8.12,Q8.18,Q8.19,Q8.20,Q8.21,Q8.22,Q8.23,Q8.24,Q8.25,Q8.26,Q9.1,Q9.2,Q9.3_1,Q9.3_2,Q9.3_3,Q9.3_4,Q9.4,PROLIFIC_PID,dataset_name,bb_profile_1,bb_profile_2,int_profile_1,int_profile_2,first_model,bb_model,int_model
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Consent Form for IRB-FY2021-5615



You have been invited to take part in a research study to learn more about how well professionals in various fields understand different types of artificial intelligence (AI) computing systems. This study will be conducted by Dr. Oded Nov, Department of Technology Management & Innovation, Tandon School of Engineering, New York University.  If you agree to be in this study, you will be asked to do the following:

	First, you will be presented with an AI computer system and several details about how it works.
	Second, you will be asked several questions about the AI system, how it makes decisions, and how well you felt you understood the system.
	Third, you will be presented with a different AI computer system and several details about how it works.
	Fourth and lastly, you will be asked several questions about this second AI system, how it makes decisions, and how well you felt you understood the system.



Participation in this study will involve 15 minutes of your time.



There are no known risks associated with your participation in this research beyond those of everyday life.  Although you will receive no direct benefits, this research may help the investigator understand the relationship between professionals in various fields and artificial intelligence (AI) systems better.



You will be paid $3.75 ($15/hr) for completing the survey, which contains 24 questions.  If you withdraw before the end of the study, no partial payment will be given.



Confidentiality of your research records will be strictly maintained by keeping signed consent forms separate from the data to make sure your name and identity will not become known.  The investigators will comply with industry-standard best practices to maintain the security of all information collected, such as using state-of-the-art tools (ex. Google Drive, Qualtrics), limiting access to data, and securing access to data using Two-Factor Authentication.



Participation in this study is voluntary. You may refuse to participate or withdraw at any time without penalty. For all questions in the survey, you have the right to skip or not answer any questions you prefer not to answer.



If there is anything about the study or your participation that is unclear or that you do not understand, if you have questions or wish to report a research-related problem, you may contact Dr. Oded Nov at (646) 997-3562 or onov@nyu.edu.



For questions about your rights as a research participant, you may contact the University Committee on Activities Involving Human Subjects, New York University, 665 Broadway, Suite 804, New York, NY 10012 at 212-998-4808 or ask.humansubjects@nyu.edu.



You will receive a copy of this consent document to keep by email.



Agreement to Participate - Id","Consent Form for IRB-FY2021-5615



You have been invited to take part in a research study to learn more about how well professionals in various fields understand different types of artificial intelligence (AI) computing systems. This study will be conducted by Dr. Oded Nov, Department of Technology Management & Innovation, Tandon School of Engineering, New York University.  If you agree to be in this study, you will be asked to do the following:

	First, you will be presented with an AI computer system and several details about how it works.
	Second, you will be asked several questions about the AI system, how it makes decisions, and how well you felt you understood the system.
	Third, you will be presented with a different AI computer system and several details about how it works.
	Fourth and lastly, you will be asked several questions about this second AI system, how it makes decisions, and how well you felt you understood the system.



Participation in this study will involve 15 minutes of your time.



There are no known risks associated with your participation in this research beyond those of everyday life.  Although you will receive no direct benefits, this research may help the investigator understand the relationship between professionals in various fields and artificial intelligence (AI) systems better.



You will be paid $3.75 ($15/hr) for completing the survey, which contains 24 questions.  If you withdraw before the end of the study, no partial payment will be given.



Confidentiality of your research records will be strictly maintained by keeping signed consent forms separate from the data to make sure your name and identity will not become known.  The investigators will comply with industry-standard best practices to maintain the security of all information collected, such as using state-of-the-art tools (ex. Google Drive, Qualtrics), limiting access to data, and securing access to data using Two-Factor Authentication.



Participation in this study is voluntary. You may refuse to participate or withdraw at any time without penalty. For all questions in the survey, you have the right to skip or not answer any questions you prefer not to answer.



If there is anything about the study or your participation that is unclear or that you do not understand, if you have questions or wish to report a research-related problem, you may contact Dr. Oded Nov at (646) 997-3562 or onov@nyu.edu.



For questions about your rights as a research participant, you may contact the University Committee on Activities Involving Human Subjects, New York University, 665 Broadway, Suite 804, New York, NY 10012 at 212-998-4808 or ask.humansubjects@nyu.edu.



You will receive a copy of this consent document to keep by email.



Agreement to Participate - Name","Consent Form for IRB-FY2021-5615



You have been invited to take part in a research study to learn more about how well professionals in various fields understand different types of artificial intelligence (AI) computing systems. This study will be conducted by Dr. Oded Nov, Department of Technology Management & Innovation, Tandon School of Engineering, New York University.  If you agree to be in this study, you will be asked to do the following:

	First, you will be presented with an AI computer system and several details about how it works.
	Second, you will be asked several questions about the AI system, how it makes decisions, and how well you felt you understood the system.
	Third, you will be presented with a different AI computer system and several details about how it works.
	Fourth and lastly, you will be asked several questions about this second AI system, how it makes decisions, and how well you felt you understood the system.



Participation in this study will involve 15 minutes of your time.



There are no known risks associated with your participation in this research beyond those of everyday life.  Although you will receive no direct benefits, this research may help the investigator understand the relationship between professionals in various fields and artificial intelligence (AI) systems better.



You will be paid $3.75 ($15/hr) for completing the survey, which contains 24 questions.  If you withdraw before the end of the study, no partial payment will be given.



Confidentiality of your research records will be strictly maintained by keeping signed consent forms separate from the data to make sure your name and identity will not become known.  The investigators will comply with industry-standard best practices to maintain the security of all information collected, such as using state-of-the-art tools (ex. Google Drive, Qualtrics), limiting access to data, and securing access to data using Two-Factor Authentication.



Participation in this study is voluntary. You may refuse to participate or withdraw at any time without penalty. For all questions in the survey, you have the right to skip or not answer any questions you prefer not to answer.



If there is anything about the study or your participation that is unclear or that you do not understand, if you have questions or wish to report a research-related problem, you may contact Dr. Oded Nov at (646) 997-3562 or onov@nyu.edu.



For questions about your rights as a research participant, you may contact the University Committee on Activities Involving Human Subjects, New York University, 665 Broadway, Suite 804, New York, NY 10012 at 212-998-4808 or ask.humansubjects@nyu.edu.



You will receive a copy of this consent document to keep by email.



Agreement to Participate - Size","Consent Form for IRB-FY2021-5615



You have been invited to take part in a research study to learn more about how well professionals in various fields understand different types of artificial intelligence (AI) computing systems. This study will be conducted by Dr. Oded Nov, Department of Technology Management & Innovation, Tandon School of Engineering, New York University.  If you agree to be in this study, you will be asked to do the following:

	First, you will be presented with an AI computer system and several details about how it works.
	Second, you will be asked several questions about the AI system, how it makes decisions, and how well you felt you understood the system.
	Third, you will be presented with a different AI computer system and several details about how it works.
	Fourth and lastly, you will be asked several questions about this second AI system, how it makes decisions, and how well you felt you understood the system.



Participation in this study will involve 15 minutes of your time.



There are no known risks associated with your participation in this research beyond those of everyday life.  Although you will receive no direct benefits, this research may help the investigator understand the relationship between professionals in various fields and artificial intelligence (AI) systems better.



You will be paid $3.75 ($15/hr) for completing the survey, which contains 24 questions.  If you withdraw before the end of the study, no partial payment will be given.



Confidentiality of your research records will be strictly maintained by keeping signed consent forms separate from the data to make sure your name and identity will not become known.  The investigators will comply with industry-standard best practices to maintain the security of all information collected, such as using state-of-the-art tools (ex. Google Drive, Qualtrics), limiting access to data, and securing access to data using Two-Factor Authentication.



Participation in this study is voluntary. You may refuse to participate or withdraw at any time without penalty. For all questions in the survey, you have the right to skip or not answer any questions you prefer not to answer.



If there is anything about the study or your participation that is unclear or that you do not understand, if you have questions or wish to report a research-related problem, you may contact Dr. Oded Nov at (646) 997-3562 or onov@nyu.edu.



For questions about your rights as a research participant, you may contact the University Committee on Activities Involving Human Subjects, New York University, 665 Broadway, Suite 804, New York, NY 10012 at 212-998-4808 or ask.humansubjects@nyu.edu.



You will receive a copy of this consent document to keep by email.



Agreement to Participate - Type",Please enter your Prolific ID here:,Would System Alpha classify the house as likely to have a high sales price or not?,Select the attribute that was most important overall to System Alpha's prediction:,I understood the relationship between inputs and output.,I believe I did well on the two questions about the systems' decision-making for particular houses.,I found the system complicated.,I found the system confusing.,I found the system easy to understand.,I found the system hard to remember.,I found the system predictable.,I understood how the system works.,Would System Beta classify the house as likely to have a high sales price or not?,Select the attribute that was most important overall to System Beta's prediction:,I believe I did well on the two questions about the systems' decision-making for particular houses.,I found the system complicated.,I found the system confusing.,I found the system easy to understand.,I found the system hard to remember.,I found the system predictable.,I understood how the system works.,I understood the relationship between inputs and output.,Would System Delta classify the house as likely to have a high sales price or not?,Select the attribute that was most important overall to System Delta's prediction:,I believe I did well on the two questions about the systems' decision-making for particular houses.,I found the system complicated.,I found the system confusing.,I found the system easy to understand.,I found the system hard to remember.,I found the system predictable.,I understood how the system works.,I understood the relationship between inputs and output.,Would System Gamma classify the house as likely to have a high sales price or not?,Select the attribute that was most important overall to System Gamma's prediction:,I believe I did well on the two questions about the systems' decision-making for particular houses.,I found the system complicated.,I found the system confusing.,I found the system easy to understand.,I found the system hard to remember.,I found the system predictable.,I understood how the system works.,I understood the relationship between inputs and output.,How many years of experience do you have in the housing/real estate field?,"What background knowledge do you have of data science, artificial intelligence, and/or machine learning?","Have you ever used predictive models, data science, artificial intelligence, or machine learning in any form at all at work? - Predictive model","Have you ever used predictive models, data science, artificial intelligence, or machine learning in any form at all at work? - Machine learning","Have you ever used predictive models, data science, artificial intelligence, or machine learning in any form at all at work? - Data science","Have you ever used predictive models, data science, artificial intelligence, or machine learning in any form at all at work? - Artificial intelligence",Were you familiar with the two Portuguese high schools and the data described in the survey before you began the survey?,PROLIFIC_PID,dataset_name,bb_profile_1,bb_profile_2,int_profile_1,int_profile_2,first_model,bb_model,int_model
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID317_FILE_ID""}","{""ImportId"":""QID317_FILE_NAME""}","{""ImportId"":""QID317_FILE_SIZE""}","{""ImportId"":""QID317_FILE_TYPE""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID33""}","{""ImportId"":""QID292""}","{""ImportId"":""QID285""}","{""ImportId"":""QID286""}","{""ImportId"":""QID287""}","{""ImportId"":""QID288""}","{""ImportId"":""QID289""}","{""ImportId"":""QID290""}","{""ImportId"":""QID291""}","{""ImportId"":""QID243""}","{""ImportId"":""QID318""}","{""ImportId"":""QID293""}","{""ImportId"":""QID294""}","{""ImportId"":""QID295""}","{""ImportId"":""QID296""}","{""ImportId"":""QID297""}","{""ImportId"":""QID298""}","{""ImportId"":""QID299""}","{""ImportId"":""QID300""}","{""ImportId"":""QID256""}","{""ImportId"":""QID319""}","{""ImportId"":""QID301""}","{""ImportId"":""QID302""}","{""ImportId"":""QID303""}","{""ImportId"":""QID304""}","{""ImportId"":""QID305""}","{""ImportId"":""QID306""}","{""ImportId"":""QID307""}","{""ImportId"":""QID308""}","{""ImportId"":""QID269""}","{""ImportId"":""QID320""}","{""ImportId"":""QID309""}","{""ImportId"":""QID310""}","{""ImportId"":""QID311""}","{""ImportId"":""QID312""}","{""ImportId"":""QID313""}","{""ImportId"":""QID314""}","{""ImportId"":""QID315""}","{""ImportId"":""QID316""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID74_2""}","{""ImportId"":""QID74_4""}","{""ImportId"":""QID74_5""}","{""ImportId"":""QID75""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""dataset_name""}","{""ImportId"":""bb_profile_1""}","{""ImportId"":""bb_profile_2""}","{""ImportId"":""int_profile_1""}","{""ImportId"":""int_profile_2""}","{""ImportId"":""first_model""}","{""ImportId"":""bb_model""}","{""ImportId"":""int_model""}"
2021-07-13 03:38:07,2021-07-13 03:39:15,Survey Preview,,100,67,True,2021-07-13 03:39:16,R_3Gp8O9mgMbSxuaS,,,,,46.068206787109375,11.1139984130859375,preview,EN,1,F_1jlcgwfvJDlDv8p,signature.png,6059,image/png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,int,shap,dt
2021-07-13 13:16:45,2021-07-13 13:20:33,Spam,74.64.150.218,1,227,False,2021-07-20 13:20:35,R_1MZgm8TcfWaaB4h,,,,,,,anonymous,EN,0.800000011920928955078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16 07:58:34,2021-07-16 07:58:52,Spam,74.64.150.218,1,17,False,2021-07-23 07:58:53,R_2eVFjue7tyaSIyF,,,,,,,anonymous,EN,0.89999997615814208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-24 22:03:40,2021-08-24 22:10:37,IP Address,68.193.129.71,100,416,True,2021-08-24 22:10:38,R_Ckl4RYMp0C4NMpH,,,,,41.50970458984375,-73.96340179443359375,anonymous,EN,1,F_3maBPEyM8T7ndjl,signature.png,10504,image/png,610827688c36871a5b12f9ca,,,,,,,,,,,Will have a high sales price,Average size of living area for closest 15 houses,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Will have a high sales price,Average size of living area for closest 15 houses,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,,,,,,,,,,,2,Not knowledgeable at all,No,Yes,No,No,No,610827688c36871a5b12f9ca,housing,3,1,1,3,int,no_shap,lr
2021-08-24 22:18:54,2021-08-24 22:25:38,IP Address,24.196.176.121,100,404,True,2021-08-24 22:25:39,R_2bTx3mQCpUlMGC1,,,,,34.889892578125,-82.4019012451171875,anonymous,EN,1,F_3nDFMD0iAv3O8bN,signature.png,13220,image/png,61094e90bb5ea378f32617d5,Will have a high sales price,House grade,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,Will have a high sales price,House grade,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,2,Slightly knowledgeable,Yes,No,Yes,No,No,61094e90bb5ea378f32617d5,housing,1,4,3,4,bb,shap,dt
2021-08-24 22:25:32,2021-08-24 22:33:21,IP Address,173.28.204.32,100,468,True,2021-08-24 22:33:22,R_9Er8S0jMamDB4OZ,,,,,41.6343994140625,-91.505401611328125,anonymous,EN,1,F_2bN2EdAGNHQoiv5,signature.png,11974,image/png,611580c3f490b096b2fa8cfa,Will have a high sales price,Size of house above ground,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,Will have a high sales price,Size of living area,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,1,Slightly knowledgeable,No,No,No,No,No,611580c3f490b096b2fa8cfa,housing,1,4,2,4,int,shap,dt
2021-08-25 01:35:45,2021-08-25 01:45:26,IP Address,65.185.40.45,100,580,True,2021-08-25 01:45:27,R_3prOjXuKDb6U71v,,,,,39.90460205078125,-82.97029876708984375,anonymous,EN,1,F_3hgoCmJGzs97h3c,signature.png,10494,image/png,60fcce22d78a9a58340d2260,Will NOT have a high sales price,House grade,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,,,,,,,,,,,Will have a high sales price,Size of living area,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,,,,10,Slightly knowledgeable,No,No,Yes,No,No,60fcce22d78a9a58340d2260,housing,1,4,4,1,bb,no_shap,dt
2021-08-25 02:01:13,2021-08-25 02:13:04,IP Address,72.19.60.206,100,711,True,2021-08-25 02:13:05,R_URUnIiD1bPAsznj,,,,,36.8112945556640625,-114.12349700927734375,anonymous,EN,1,F_3MxKHJByhZ7IRMj,signature.png,9289,image/png,60e48bf26db92a299af63242,,Size of living area,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,,,,,,,,,,,,House grade,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,,,,,,,,,,,7,Knowledgeable,Yes,Yes,Yes,Yes,No,60e48bf26db92a299af63242,housing,3,1,4,3,bb,no_shap,dt
